row_n,drug_class,drug_name,risk,test,id,image,study,text,cor
2,Anthracycline,,low,ecg,anth_low_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
3,Anthracycline,,low,tte,anth_low_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, C4, and  at 12 months after completion of treatment",1
4,Anthracycline,,low,labs,anth_low_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, C2, C4, C6, and at 3 months after completion of treatment",1
5,Anthracycline,,moderate,ecg,anth_mod_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
6,Anthracycline,,moderate,tte,anth_mod_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, C4, and at 12 months  after completion of treatment",1
7,Anthracycline,,moderate,labs,anth_mod_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,cTN and NP,"Obtain at baseline, C2, C4, C6, and at 3 months after completion of treatment",1
8,Anthracycline,,high,ecg,anth_high_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
9,Anthracycline,,high,tte,anth_high_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, C2, C4, C6 and at 3, 12 months after completion of treatment",1
10,Anthracycline,,high,labs,anth_high_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, C1, C2, C3, C4, C5, C6, and at 3, 12 months after completion of treatment",1
11,Anthracycline,,very_high,ecg,anth_vhi_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
12,Anthracycline,,very_high,tte,anth_vhi_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, C2, C4, C6 and at 3, 12 months after completion of treatment",1
13,Anthracycline,,very_high,labs,anth_vhi_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, C1, C2, C3, C4, C5, C6, and at 3, 12 months after completion of treatment",1
14,HER-2 targeted therapies,,low,ecg,her2_low_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline,1
15,HER-2 targeted therapies,,low,tte,her2_low_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, 3, 6, 9, 12 months of treatment and at 12 months after completion of treatment",1
16,HER-2 targeted therapies,,low,labs,her2_low_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, 3, 6, 9, 12 months of treatment and at 12 months after completion of treatment",1
17,HER-2 targeted therapies,,moderate,ecg,her2_mod_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
18,HER-2 targeted therapies,,moderate,tte,her2_mod_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, 3, 6, 9, 12 months of treatment and at 12 montths after completion of treatment",1
19,HER-2 targeted therapies,,moderate,labs,her2_mod_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,cTN and NP,"Obtain at baseline, 3, 6, 9, 12 months of treatment and at 12 montths after completion of treatment",1
20,HER-2 targeted therapies,,high,ecg,her2_high_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
21,HER-2 targeted therapies,,high,tte,her2_high_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, 3, 6, 9, 12 months of treatment and at 3, 12 months after completion of treatment",1
22,HER-2 targeted therapies,,high,labs,her2_high_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, 3, 6, 9, 12 months of treatment and at 3, 12 months after completion of treatment",1
23,HER-2 targeted therapies,,very_high,ecg,her2_vhi_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
24,HER-2 targeted therapies,,very_high,tte,her2_vhi_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,"Obtain at baseline, 3, 6, 9, 12 months of treatment and at 3, 12 months after completion of treatment",1
25,HER-2 targeted therapies,,very_high,labs,her2_vhi_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, 3, 6, 9, 12 months of treatment and at 3, 12 months after completion of treatment",1
26,VEGF inhibitors,,low,ecg,vegfi_low_ecg,https://img.icons8.com/?size=200&id=Yn6jEBlGZonv&format=png,ECG,Obtain at baseline only,1
27,VEGF inhibitors,,low,tte,vegfi_low_tte,https://img.icons8.com/?size=200&id=xtPfZ2SHYUD9&format=png,TTE,Obtain at baseline only,1
28,VEGF inhibitors,,low,labs,vegfi_low_labs,https://img.icons8.com/?size=200&id=OiHFoVuOwcFz&format=png,"cTN, NP","Obtain at baseline, 3, 6, 9, 12 months of treatment and at 3, 12 months after completion of treatment",1
